Tue Sep  1 17:23:27 MDT 2026

COMMAND: cat /proc/partitions
DESCRIPTION: Known block-device partitions

major minor  #blocks  name

   1        0       4096 ram0
   1        1       4096 ram1
   1        2       4096 ram2
   1        3       4096 ram3
   1        4       4096 ram4
   1        5       4096 ram5
   1        6       4096 ram6
   1        7       4096 ram7
   1        8       4096 ram8
   1        9       4096 ram9
   1       10       4096 ram10
   1       11       4096 ram11
   1       12       4096 ram12
   1       13       4096 ram13
   1       14       4096 ram14
   1       15       4096 ram15
   8       16     163232 sdb
   8        0     365480 sda
   8       32    2097156 sdc
   8       48 1073741824 sdd
