Thu Aug 27 02:25:12 PM MDT 2026

COMMAND: cat /proc/partitions
DESCRIPTION: Known block-device partitions

major minor  #blocks  name

   7        0          4 loop0
   7        1     154208 loop1
   7        2     219664 loop2
   7        3       9616 loop3
   7        4     213428 loop4
   7        5      56820 loop5
   7        6      65312 loop6
   7        7      61008 loop7
 259        0 1000204632 nvme0n1
 259        1     999424 nvme0n1p1
 259        2  999203840 nvme0n1p2
   8        0 3907018583 sda
   8        1 3907016704 sda1
   8       16 1953514584 sdb
   8       17 1953467280 sdb1
   7        8      75768 loop8
   7        9      61008 loop9
   7       10      68452 loop10
   7       11      68408 loop11
   7       12      49056 loop12
   7       13      20120 loop13
   7       14      20440 loop14
   7       15     266560 loop15
   7       16     267356 loop16
   7       17      16896 loop17
   7       18       6112 loop18
   7       19      63672 loop19
   7       20     229864 loop20
   7       21      33648 loop21
   7       23     168780 loop23
   7       22      33576 loop22
   7       24     544248 loop24
   7       25     620624 loop25
   7       26       1704 loop26
   7       27     629280 loop27
   7       28      93888 loop28
   7       30     220908 loop30
   7       29     213528 loop29
   7       31     423644 loop31
   7       32     424456 loop32
   7       33    1710144 loop33
   7       34       4392 loop34
   7       35     404460 loop35
   7       36     411628 loop36
   7       37     190644 loop37
   7       39      19276 loop39
   7       38     190640 loop38
   7       40      19284 loop40
   7       41     123804 loop41
   7       42        556 loop42
   7       43      16064 loop43
   7       45      50444 loop45
   7       44      12092 loop44
   7       47        580 loop47
   7       46      51304 loop46
   7       48        828 loop48
   7       49      66236 loop49
   7       50     225136 loop50
   7       52     202244 loop52
   7       51     226444 loop51
   7       53     202244 loop53
   7       54       4088 loop54
