Fri Sep  4 12:11:50 PM MDT 2026

COMMAND: cat /proc/partitions
DESCRIPTION: Known block-device partitions

major minor  #blocks  name

   7        0     219588 loop0
   7        1          4 loop1
   7        2      13444 loop2
   7        3     219644 loop3
   7        4      75768 loop4
   7        5      68452 loop5
   7        6      68408 loop6
   7        7      20120 loop7
 259        0 1953514584 nvme0n1
 259        1    1100800 nvme0n1p1
 259        2 1952411648 nvme0n1p2
   7        8      20440 loop8
   7        9     280268 loop9
   7       10      16896 loop10
   7       11     544248 loop11
   7       12     620624 loop12
   7       13      93888 loop13
   7       14     404460 loop14
   7       15      19276 loop15
   7       16      19284 loop16
   7       17      16064 loop17
   7       18      12092 loop18
   7       19      50444 loop19
   7       20      51304 loop20
   7       21        580 loop21
   7       22        828 loop22
